persona,n_train_clients,config,cv_macro_f1_mean,cv_macro_f1_std,delta_vs_global,shrinkage_weight,shrunk_delta_vs_global,folds_beating_global,is_raw_best,selected_after_guardrails,used_global_fallback
High-velocity spenders,604,recent3_median_gap|grace=0|short_gate=true,0.4131808541919243,0.013795846792437802,-0.047448796479140576,0.668141592920354,-0.03170251446172667,0,False,False,True
High-velocity spenders,604,recent3_median_gap|grace=10|short_gate=false,0.4117921912068203,0.031450108727177045,-0.04883745946424456,0.668141592920354,-0.032630337960623576,0,False,False,True
High-velocity spenders,604,median_gap|grace=0|short_gate=false,0.4105754608312303,0.02108580976497058,-0.05005418983983456,0.668141592920354,-0.03344328613192486,0,False,False,True
High-velocity spenders,604,recent3_median_gap|grace=3|short_gate=false,0.40992607530504765,0.024396148149656124,-0.05070357536601722,0.668141592920354,-0.033877167611807965,0,False,False,True
High-velocity spenders,604,mean_median_blend|grace=0|short_gate=false,0.4093793063761166,0.028877699915598718,-0.05125034429494829,0.668141592920354,-0.034242486674943326,0,False,False,True
High-velocity spenders,604,mean_gap|grace=0|short_gate=false,0.4039410324171716,0.017341345783799533,-0.056688618253893264,0.668141592920354,-0.037876023700610106,0,False,False,True
High-velocity spenders,604,trimmed_mean_gap|grace=0|short_gate=false,0.40367963073940294,0.032689845298324936,-0.05695001993166193,0.668141592920354,-0.03805067703398651,0,False,False,True
High-velocity spenders,604,recent3_median_gap|grace=0|short_gate=false,0.3938521836800815,0.020219475439355053,-0.06677746699098336,0.668141592920354,-0.04461680316654198,0,False,False,True
High-velocity spenders,604,calendar_dom|grace=0|short_gate=true,0.3874682035485873,0.046317982703076035,-0.07316144712247757,0.668141592920354,-0.048882205820770415,0,False,False,True
High-velocity spenders,604,calendar_dom|grace=3|short_gate=true,0.38742850101847554,0.04258761494841145,-0.07320114965258934,0.668141592920354,-0.04890873273248226,0,False,False,True
High-velocity spenders,604,calendar_dom|grace=5|short_gate=true,0.3801903935877921,0.04597419062011789,-0.08043925708327276,0.668141592920354,-0.05374481336094773,0,False,False,True
High-velocity spenders,604,calendar_dom|grace=7|short_gate=true,0.3791339085349891,0.04451470765564747,-0.0814957421360758,0.668141592920354,-0.0544506949670241,0,False,False,True
High-velocity spenders,604,calendar_dom|grace=0|short_gate=false,0.375904951377852,0.0499753841921365,-0.08472469929321286,0.668141592920354,-0.05660809554546523,0,False,False,True
High-velocity spenders,604,calendar_dom|grace=3|short_gate=false,0.37567633495403496,0.04545364928722469,-0.08495331571702991,0.668141592920354,-0.05676084368704211,0,False,False,True
High-velocity spenders,604,calendar_dom|grace=10|short_gate=true,0.37325696207061076,0.04000653716177086,-0.08737268860045411,0.668141592920354,-0.05837732733924146,0,False,False,True
High-velocity spenders,604,calendar_dom|grace=5|short_gate=false,0.36620987065829963,0.05169893821429353,-0.09441978001276524,0.668141592920354,-0.06308578222091837,0,False,False,True
High-velocity spenders,604,calendar_dom|grace=7|short_gate=false,0.3646288928441188,0.050001400657542064,-0.09600075782694606,0.668141592920354,-0.06414209925605688,0,False,False,True
High-velocity spenders,604,calendar_dom|grace=10|short_gate=false,0.35876464515227163,0.046509269914947804,-0.10186500551879324,0.668141592920354,-0.06806024705016717,0,False,False,True
Low-key everyday users,222,mean_gap|grace=3|short_gate=false,0.496031303073571,0.08236345071351843,0.027792604103164753,0.42528735632183906,0.011819843124334435,4,True,True,False
Low-key everyday users,222,mean_gap|grace=3|short_gate=true,0.495062043691076,0.05112633817336284,0.026823344720669717,0.42528735632183906,0.011407629363962982,5,False,False,False
Low-key everyday users,222,mean_gap|grace=5|short_gate=true,0.48335220335220336,0.037176037147585696,0.015113504381797094,0.42528735632183906,0.006427582323293017,3,False,False,False
Low-key everyday users,222,mean_median_blend|grace=5|short_gate=true,0.48335220335220336,0.037176037147585696,0.015113504381797094,0.42528735632183906,0.006427582323293017,3,False,False,False
Low-key everyday users,222,mean_gap|grace=5|short_gate=false,0.4816180566509514,0.06852699559576918,0.013379357680545156,0.42528735632183906,0.005690071657243342,3,False,False,False
Low-key everyday users,222,mean_median_blend|grace=5|short_gate=false,0.4816180566509514,0.06852699559576918,0.013379357680545156,0.42528735632183906,0.005690071657243342,3,False,False,False
Low-key everyday users,222,mean_gap|grace=7|short_gate=true,0.4805427426979151,0.033309057707425836,0.012304043727508818,0.42528735632183906,0.0052327542289405315,3,False,False,False
Low-key everyday users,222,mean_gap|grace=7|short_gate=false,0.47864695367984844,0.06635001627726922,0.010408254709442177,0.42528735632183906,0.004426499129302995,3,False,False,False
Low-key everyday users,222,mean_median_blend|grace=3|short_gate=false,0.4786293422892573,0.07947454625768464,0.010390643318851034,0.42528735632183906,0.004419009227557336,3,False,False,False
Low-key everyday users,222,recent3_median_gap|grace=3|short_gate=false,0.47849719373605604,0.08796742695817479,0.010258494765649773,0.42528735632183906,0.004362808118724615,2,False,False,False
Low-key everyday users,222,mean_median_blend|grace=10|short_gate=true,0.4784811863680661,0.03641546959585486,0.010242487397659816,0.42528735632183906,0.004356000387510496,2,False,False,False
Low-key everyday users,222,mean_median_blend|grace=7|short_gate=true,0.4784811863680661,0.03641546959585486,0.010242487397659816,0.42528735632183906,0.004356000387510496,2,False,False,False
Low-key everyday users,222,recent3_median_gap|grace=10|short_gate=true,0.4784811863680661,0.03641546959585486,0.010242487397659816,0.42528735632183906,0.004356000387510496,2,False,False,False
Low-key everyday users,222,recent3_median_gap|grace=7|short_gate=true,0.4784811863680661,0.03641546959585486,0.010242487397659816,0.42528735632183906,0.004356000387510496,2,False,False,False
Low-key everyday users,222,mean_median_blend|grace=3|short_gate=true,0.4776600829067622,0.045788817505286884,0.009421383936355943,0.42528735632183906,0.004006795467185861,4,False,False,False
Low-key everyday users,222,mean_median_blend|grace=10|short_gate=false,0.47642518303702514,0.068134173630627,0.008186484066618871,0.42528735632183906,0.003481608166263198,2,False,False,False
Low-key everyday users,222,mean_median_blend|grace=7|short_gate=false,0.47642518303702514,0.068134173630627,0.008186484066618871,0.42528735632183906,0.003481608166263198,2,False,False,False
Low-key everyday users,222,recent3_median_gap|grace=10|short_gate=false,0.47642518303702514,0.068134173630627,0.008186484066618871,0.42528735632183906,0.003481608166263198,2,False,False,False
Low-key everyday users,222,recent3_median_gap|grace=7|short_gate=false,0.47642518303702514,0.068134173630627,0.008186484066618871,0.42528735632183906,0.003481608166263198,2,False,False,False
Low-key everyday users,222,trimmed_mean_gap|grace=5|short_gate=true,0.47609029859029856,0.04793811752241978,0.007851599619892291,0.42528735632183906,0.003339186045241549,2,False,False,False
Low-key everyday users,222,recent3_median_gap|grace=5|short_gate=true,0.47550060373231096,0.0401654947290303,0.007261904761904692,0.42528735632183906,0.0030883962780514206,1,False,False,False
Low-key everyday users,222,recent3_median_gap|grace=3|short_gate=true,0.4754745631125468,0.05931820981997185,0.007235864142140558,0.42528735632183906,0.00307732153171495,2,False,False,False
Low-key everyday users,222,trimmed_mean_gap|grace=5|short_gate=false,0.4746537709366657,0.0804850699190143,0.006415071966259456,0.42528735632183906,0.002728248997144826,3,False,False,False
Low-key everyday users,222,mean_gap|grace=10|short_gate=true,0.47454179242867206,0.0431065092505254,0.006303093458265796,0.42528735632183906,0.0026806259535153386,2,False,False,False
Low-key everyday users,222,recent3_median_gap|grace=5|short_gate=false,0.4736062427180848,0.07132241403652986,0.00536754374767856,0.42528735632183906,0.0022827484903920315,1,False,False,False
Low-key everyday users,222,trimmed_mean_gap|grace=7|short_gate=true,0.4732808379360103,0.04443527438524358,0.005042138965604015,0.42528735632183906,0.0021443579508890636,2,False,False,False
Low-key everyday users,222,trimmed_mean_gap|grace=7|short_gate=false,0.4716826679655627,0.07831023553493267,0.003443968995156421,0.42528735632183906,0.0014646764692044548,3,False,False,False
