iteration,persona,cadence,grace_days,short_gate,mean_fold_delta,positive_folds,selected
1,Short or lapsed explorer,trimmed_mean_gap,3,False,-0.001209820829597641,3,
1,Short or lapsed explorer,trimmed_mean_gap,5,True,-0.0006574987445761681,2,
1,Short or lapsed explorer,trimmed_mean_gap,5,False,-0.0016234503772979635,3,
1,Short or lapsed explorer,trimmed_mean_gap,7,True,-0.002770031746554735,1,
1,Short or lapsed explorer,trimmed_mean_gap,7,False,-0.004032139971345527,1,
1,Short or lapsed explorer,trimmed_mean_gap,10,True,-0.004377511609120033,1,
1,Short or lapsed explorer,trimmed_mean_gap,10,False,-0.007521355596526569,1,
1,Short or lapsed explorer,recent3_median_gap,0,True,4.671934829263425e-05,2,
1,Short or lapsed explorer,recent3_median_gap,0,False,-0.00013782799441807158,3,
1,Short or lapsed explorer,recent3_median_gap,3,True,-0.0008230143191240824,1,
1,Short or lapsed explorer,recent3_median_gap,3,False,-9.094083630420969e-05,3,
1,Short or lapsed explorer,recent3_median_gap,5,True,-0.0005093624805605268,0,
1,Short or lapsed explorer,recent3_median_gap,5,False,-0.0007666346805141999,3,
1,Short or lapsed explorer,recent3_median_gap,7,True,-0.0015254604366203516,1,
1,Short or lapsed explorer,recent3_median_gap,7,False,-0.0021092355967483488,2,
1,Short or lapsed explorer,recent3_median_gap,10,True,-0.0023537263697650745,1,
1,Short or lapsed explorer,recent3_median_gap,10,False,-0.004863229049295104,1,
1,Short or lapsed explorer,calendar_dom,0,True,-0.004562706015741458,1,
1,Short or lapsed explorer,calendar_dom,0,False,-0.0038279080084619886,2,
1,Short or lapsed explorer,calendar_dom,3,True,-0.004893366703789292,1,
1,Short or lapsed explorer,calendar_dom,3,False,-0.004164073657694789,1,
1,Short or lapsed explorer,calendar_dom,5,True,-0.006196762173845671,0,
1,Short or lapsed explorer,calendar_dom,5,False,-0.005936100546965972,1,
1,Short or lapsed explorer,calendar_dom,7,True,-0.00798595260071081,0,
1,Short or lapsed explorer,calendar_dom,7,False,-0.00835836935410933,0,
1,Short or lapsed explorer,calendar_dom,10,True,-0.007261159031472142,0,
1,Short or lapsed explorer,calendar_dom,10,False,-0.008783312689399626,0,
1,Short or lapsed explorer,median_gap,3,False,0.0007047370811724019,3,True
2,Mature regular,median_gap,0,True,-0.011107027024903283,0,
2,Mature regular,median_gap,0,False,-0.018119534953026817,0,
2,Mature regular,median_gap,3,True,-0.0052183053341821935,1,
2,Mature regular,median_gap,3,False,-0.013606063029895542,0,
2,Mature regular,median_gap,5,True,-0.0017003656817540346,1,
2,Mature regular,median_gap,5,False,-0.0111540290971044,0,
2,Mature regular,median_gap,7,True,-0.0007346008052910635,1,
2,Mature regular,median_gap,7,False,-0.010204641879059617,0,
2,Mature regular,median_gap,10,True,-0.0007346008052910635,1,
2,Mature regular,median_gap,10,False,-0.010204641879059617,0,
2,Mature regular,mean_gap,0,True,-0.009143423785401606,1,
2,Mature regular,mean_gap,0,False,-0.016146595613446713,0,
2,Mature regular,mean_gap,3,True,-0.002647745103370658,2,
2,Mature regular,mean_gap,3,False,-0.011030537756550041,0,
2,Mature regular,mean_gap,5,True,-0.002184335896670453,2,
2,Mature regular,mean_gap,5,False,-0.011316718756273336,0,
2,Mature regular,mean_gap,7,True,-0.0012600072281245046,2,
2,Mature regular,mean_gap,7,False,-0.010694881463240857,0,
2,Mature regular,mean_gap,10,True,-0.0010402402510590325,2,
2,Mature regular,mean_gap,10,False,-0.010486028173081119,0,
2,Mature regular,trimmed_mean_gap,0,True,-0.011071347904138652,0,
2,Mature regular,trimmed_mean_gap,0,False,-0.01808219401047214,0,
2,Mature regular,trimmed_mean_gap,3,True,-0.004531729816061902,1,
2,Mature regular,trimmed_mean_gap,3,False,-0.012909653120993837,0,
2,Mature regular,trimmed_mean_gap,5,True,-0.0030099533726931304,1,
2,Mature regular,trimmed_mean_gap,5,False,-0.01213769485895182,0,
2,Mature regular,trimmed_mean_gap,7,True,-0.002085624704147182,1,
2,Mature regular,trimmed_mean_gap,7,False,-0.011513519861077959,0,
2,Mature regular,trimmed_mean_gap,10,True,-0.0019208852588498027,1,
2,Mature regular,trimmed_mean_gap,10,False,-0.011365148826345572,0,
2,Mature regular,recent3_median_gap,0,True,-0.00984129017373504,0,
2,Mature regular,recent3_median_gap,0,False,-0.016874812059374134,0,
2,Mature regular,recent3_median_gap,3,True,-0.003650447031135262,0,
2,Mature regular,recent3_median_gap,3,False,-0.012026877447188944,0,
2,Mature regular,recent3_median_gap,5,True,-0.0016014012477879036,1,
2,Mature regular,recent3_median_gap,5,False,-0.011032065995830908,0,
2,Mature regular,recent3_median_gap,7,True,0.0,0,
2,Mature regular,recent3_median_gap,7,False,-0.009467127367137229,0,
2,Mature regular,recent3_median_gap,10,True,-6.3155235568990165e-06,0,
2,Mature regular,recent3_median_gap,10,False,-0.00948470903682871,0,
2,Mature regular,calendar_dom,0,True,-0.009187385765642065,1,
2,Mature regular,calendar_dom,0,False,-0.016447367229480647,0,
2,Mature regular,calendar_dom,3,True,-0.009187385765642065,1,
2,Mature regular,calendar_dom,3,False,-0.016447367229480647,0,
2,Mature regular,calendar_dom,5,True,-0.00934174865805253,1,
2,Mature regular,calendar_dom,5,False,-0.01688980893265405,0,
2,Mature regular,calendar_dom,7,True,-0.008129341694759451,1,
2,Mature regular,calendar_dom,7,False,-0.016100157270349448,0,
2,Mature regular,calendar_dom,10,True,-0.0077119129317819056,1,
2,Mature regular,calendar_dom,10,False,-0.015829225706015203,0,
2,Mature regular,recent3_median_gap,7,True,0.0,0,True
2,Multi-subscription active,median_gap,0,True,-0.013571163497751481,0,
2,Multi-subscription active,median_gap,0,False,-0.020079047527023018,0,
2,Multi-subscription active,median_gap,3,True,-0.00241555476144486,2,
2,Multi-subscription active,median_gap,3,False,-0.00778593576484109,1,
2,Multi-subscription active,median_gap,5,True,0.0,0,
2,Multi-subscription active,median_gap,5,False,-0.005704524948207645,1,
2,Multi-subscription active,median_gap,7,True,-0.0005409335328827814,1,
2,Multi-subscription active,median_gap,7,False,-0.006251105115084532,1,
2,Multi-subscription active,median_gap,10,True,-0.0018876301480453162,1,
2,Multi-subscription active,median_gap,10,False,-0.007594802672173962,1,
2,Multi-subscription active,mean_gap,0,True,-0.018791205863817873,0,
2,Multi-subscription active,mean_gap,0,False,-0.024653435954919634,0,
2,Multi-subscription active,mean_gap,3,True,-0.012054977165278091,0,
2,Multi-subscription active,mean_gap,3,False,-0.017580207269816562,0,
2,Multi-subscription active,mean_gap,5,True,-0.00870594421951656,1,
2,Multi-subscription active,mean_gap,5,False,-0.013933757668422475,1,
2,Multi-subscription active,mean_gap,7,True,-0.010577856450021027,0,
2,Multi-subscription active,mean_gap,7,False,-0.015769541899795247,1,
2,Multi-subscription active,mean_gap,10,True,-0.011284226137389308,0,
2,Multi-subscription active,mean_gap,10,False,-0.016483206604684796,1,
2,Multi-subscription active,trimmed_mean_gap,0,True,-0.01585051460728808,0,
2,Multi-subscription active,trimmed_mean_gap,0,False,-0.021793724623194476,0,
2,Multi-subscription active,trimmed_mean_gap,3,True,-0.009055307058950213,0,
2,Multi-subscription active,trimmed_mean_gap,3,False,-0.01465623205875063,0,
2,Multi-subscription active,trimmed_mean_gap,5,True,-0.005799251396671867,1,
2,Multi-subscription active,trimmed_mean_gap,5,False,-0.011084330550099431,1,
2,Multi-subscription active,trimmed_mean_gap,7,True,-0.0076562082102066605,0,
2,Multi-subscription active,trimmed_mean_gap,7,False,-0.012902307601735908,1,
2,Multi-subscription active,trimmed_mean_gap,10,True,-0.008363572045517464,0,
2,Multi-subscription active,trimmed_mean_gap,10,False,-0.013615606662927538,1,
2,Multi-subscription active,recent3_median_gap,0,True,-0.020236243137166165,0,
2,Multi-subscription active,recent3_median_gap,0,False,-0.027271492921060524,0,
2,Multi-subscription active,recent3_median_gap,3,True,-0.01126895817066017,1,
2,Multi-subscription active,recent3_median_gap,3,False,-0.017368241906249183,1,
2,Multi-subscription active,recent3_median_gap,5,True,-0.008175088399899444,0,
2,Multi-subscription active,recent3_median_gap,5,False,-0.01461171842932273,1,
2,Multi-subscription active,recent3_median_gap,7,True,-0.008878665011563114,0,
2,Multi-subscription active,recent3_median_gap,7,False,-0.014753088867707065,0,
2,Multi-subscription active,recent3_median_gap,10,True,-0.010792650238238688,0,
2,Multi-subscription active,recent3_median_gap,10,False,-0.01666031634924988,0,
2,Multi-subscription active,calendar_dom,0,True,-0.03258996203024824,0,
2,Multi-subscription active,calendar_dom,0,False,-0.03702980763882339,0,
2,Multi-subscription active,calendar_dom,3,True,-0.032040304087567216,0,
2,Multi-subscription active,calendar_dom,3,False,-0.036482846667463355,0,
2,Multi-subscription active,calendar_dom,5,True,-0.03387390460772022,0,
2,Multi-subscription active,calendar_dom,5,False,-0.03829519010054627,0,
2,Multi-subscription active,calendar_dom,7,True,-0.034337461514646506,0,
2,Multi-subscription active,calendar_dom,7,False,-0.03875992064235566,0,
2,Multi-subscription active,calendar_dom,10,True,-0.03704397066479934,0,
2,Multi-subscription active,calendar_dom,10,False,-0.04176468801683462,0,
2,Multi-subscription active,median_gap,5,True,0.0,0,True
2,Quiet / no detected cycle,median_gap,0,True,0.0,0,
2,Quiet / no detected cycle,median_gap,0,False,0.0,0,
2,Quiet / no detected cycle,median_gap,3,True,0.0,0,
2,Quiet / no detected cycle,median_gap,3,False,0.0,0,
2,Quiet / no detected cycle,median_gap,5,True,0.0,0,
2,Quiet / no detected cycle,median_gap,5,False,0.0,0,
2,Quiet / no detected cycle,median_gap,7,True,0.0,0,
2,Quiet / no detected cycle,median_gap,7,False,0.0,0,
2,Quiet / no detected cycle,median_gap,10,True,0.0,0,
2,Quiet / no detected cycle,median_gap,10,False,0.0,0,
2,Quiet / no detected cycle,mean_gap,0,True,0.0,0,
2,Quiet / no detected cycle,mean_gap,0,False,0.0,0,
2,Quiet / no detected cycle,mean_gap,3,True,0.0,0,
2,Quiet / no detected cycle,mean_gap,3,False,0.0,0,
